campaign_id,company,campaign_name,industry,channel,city,state,start_date,end_date,budget_inr,spend_inr,impressions,clicks,conversions,revenue_inr,campaign_manager,status
IND-CMP-10360,Amazon India,Republic Day Offer,Real Estate,Facebook Ads,Indore,Uttar Pradesh,2025-03-02,2025-03-09,643176.0,691654,1547203,306286,39595,100056565,Karthik Iyer,Completed
IND-CMP-10069,Flipkart,Flash Sale,Retail,Email,Indore,Kerala,2025-04-30,2025-05-09,1160923.0,1080886,1578321,113281,1732,5862820,Rohit Gupta,Paused
IND-CMP-10819,Ola,Republic Day Offer,Retail,Google Ads,Bhopal,Telangana,2025-02-23,2025-03-14,1176119.0,706818,1731014,315597,3296,10379104,Amit Verma,Paused
IND-CMP-10190,Paytm,Independence Day Sale,EdTech,Google Ads,Nagpur,Andhra Pradesh,2025-06-30,2025-07-08,52178.0,58695,802789,81104,14908,40132336,Vikram Patel,Active
IND-CMP-10398,BigBasket,Flash Sale,Healthcare,Facebook Ads,Kolkata,Kerala,2025-03-16,2025-04-06,610284.0,552562,822356,139824,1052,1275024,Rahul Sharma,Paused
IND-CMP-10682,Ola,Summer Offer,Real Estate,LinkedIn,Kolkata,Rajasthan,2025-07-13,2025-07-22,256838.0,161902,1075760,111077,15394,28017080,Sneha Reddy,Active
IND-CMP-10092,Ola,New Launch,Healthcare,LinkedIn,Chennai,Gujarat,2025-02-04,2025-02-18,129238.0,148331,532044,61447,2271,3535947,Vikram Patel,Active
IND-CMP-10953,Meesho,Flash Sale,Travel,Email,Delhi,Kerala,2025-09-11,2025-10-25,1493406.0,1526378,660416,23347,4310,3538510,Vikram Patel,Paused
IND-CMP-10933,Byju's,New Launch,Healthcare,Instagram,Visakhapatnam,Uttar Pradesh,2025-09-13,2025-09-23,305591.0,271291,1580835,37198,473,669295,Rahul Sharma,Paused
IND-CMP-10080,Byju's,Summer Offer,Real Estate,Email,Visakhapatnam,Gujarat,2025-06-23,2025-07-25,507406.0,311487,40640,4039,459,560439,Rahul Sharma,Paused
IND-CMP-10159,Uber India,Republic Day Offer,E-commerce,LinkedIn,Noida,Maharashtra,2025-07-17,2025-08-30,452707.0,365223,1727865,314113,42337,148729881,Sneha Reddy,Active
IND-CMP-10018,Ajio,End of Season Sale,Real Estate,YouTube,Bengaluru ,Kerala,2025-04-25,2025-06-07,738110.0,561208,683960,40873,3115,5152210,Amit Verma,Paused
IND-CMP-10457,Flipkart,Summer Offer,Healthcare,Instagram,Surat,Uttar Pradesh,2025-08-25,2025-09-10,1493576.0,1412316,1270960,191101,12643,28092746,Pooja Singh,Completed
IND-CMP-10964,Swiggy,Republic Day Offer,Real Estate,Email,Ahmedabad,Andhra Pradesh,2025-03-04,2025-03-27,165735.0,151896,591429,93568,7466,6308770,Amit Verma,Active
IND-CMP-10483,Uber India,Diwali Campaign,FinTech,WhatsApp,Chandigarh,Delhi,2025-04-01,2025-04-28,961323.0,837659,1984551,7247,166,758620,Anjali Mehta,Completed
IND-CMP-10087,PhonePe,New Launch,FinTech,Email,Patna,Maharashtra,2025-02-18,2025-03-16,393077.0,237339,1560971,158825,12841,45816688,Rohit Gupta,Completed
IND-CMP-10823,Amazon India,Summer Offer,FinTech,Google Ads,Hyderabad,Rajasthan,2025-07-26,2025-09-03,563591.0,405114,271530,34647,3352,9593424,Rohit Gupta,Paused
IND-CMP-10075,BigBasket,Independence Day Sale,Healthcare,YouTube,Surat,Kerala,2025-02-10,2025-03-22,469884.0,451837,158867,24080,1304,5222520,Karthik Iyer,Paused
IND-CMP-10522,Meesho,End of Season Sale,EdTech,WhatsApp,Indore,West Bengal,2025-03-10,2025-04-08,525971.0,400506,818166,18412,458,1525140,Sneha Reddy,Paused
IND-CMP-10861,Byju's,Summer Offer,Travel,YouTube,Chandigarh,Kerala,2025-01-26,2025-02-23,64439.0,67199,198142,1523,144,270288,Rahul Sharma,Paused
IND-CMP-10827,Nykaa,Back to School,Real Estate,Google Ads,Noida,Gujarat,2025-05-03,2025-06-16,1167172.0,1109854,1700077,191240,10422,38446758,Amit Verma,Active
IND-CMP-10991,Meesho,End of Season Sale,Retail,Facebook Ads,Delhi,Punjab,2025-04-22,2025-06-01,622308.0,637284,1436033,40712,1646,5830132,Neha Kapoor,Paused
IND-CMP-10921,Zomato,Independence Day Sale,FinTech,Facebook Ads,Kochi,Gujarat,2025-01-31,2025-02-19,1302297.0,1095029,1047826,20917,1961,9501045,Sneha Reddy,Active
IND-CMP-10834,Byju's,Republic Day Offer,Retail,Instagram,Coimbatore,Rajasthan,2025-08-26,2025-09-20,599021.0,507441,1091448,172991,9150,36636600,Priya Nair,Active
IND-CMP-10978,BigBasket,New Launch,E-commerce,Email,Visakhapatnam,Andhra Pradesh,2025-09-11,2025-10-19,842656.0,676726,203283,30924,2953,12145689,Sneha Reddy,Paused
IND-CMP-10361,Zomato,Independence Day Sale,Retail,YouTube,Bhopal,Haryana,2025-07-03,2025-07-30,849832.0,672316,1158747,95555,4197,17035623,Neha Kapoor,Completed
IND-CMP-10907,Swiggy,Flash Sale,E-commerce,Email,Ahmedabad,West Bengal,2025-08-25,2025-09-16,894653.0,764513,722776,64848,1511,2786284,Sneha Reddy,Active
IND-CMP-10729,Amazon India,Back to School,FinTech,Google Ads,Chandigarh,Telangana,2025-08-04,2025-08-14,700385.0,444963,44978,2397,359,429005,Sneha Reddy,Active
IND-CMP-10618,Byju's,Summer Offer,E-commerce,Instagram,Nagpur,Kerala,2025-08-09,2025-09-21,606045.0,448709,741206,57251,2898,14032116,Vikram Patel,Active
IND-CMP-10941,MakeMyTrip,Diwali Campaign,FinTech,Instagram,Indore,Maharashtra,2025-06-11,2025-06-20,1313200.0,1452507,488777,1709,192,949824,Priya Nair,Active
IND-CMP-10916,Tata 1mg,Diwali Campaign,Real Estate,YouTube,Chandigarh,Tamil Nadu,2025-10-11,2025-11-17,758574.0,536454,360997,54281,10611,8520633,Neha Kapoor,Paused
IND-CMP-10093,Zomato,Diwali Campaign,Retail,Email,Hyderabad,Gujarat,2025-05-24,2025-06-16,825134.0,867863,194034,25849,819,750204,Karthik Iyer,Paused
IND-CMP-10646,Swiggy,Back to School,E-commerce,Instagram,Ahmedabad,Maharashtra,2025-03-25,2025-04-30,567483.0,472171,1151638,91943,9841,19583590,Rahul Sharma,Paused
IND-CMP-10436,Flipkart,Festive Sale,Travel,Google Ads,Indore,Gujarat,2025-05-02,2025-05-13,1179317.0,1348679,1677057,327357,61741,228194736,Rohit Gupta,Active
IND-CMP-10480,Flipkart,Festive Sale,Travel,Facebook Ads,Ahmedabad,Gujarat,2025-09-25,2025-10-31,647609.0,645036,254316,16893,1250,2745000,Anjali Mehta,Paused
IND-CMP-10116,Paytm,Summer Offer,Healthcare,Email,Bangalore,Kerala,2025-05-28,2025-06-13,299545.0,303609,1026329,105123,11063,31396794,Vikram Patel,Completed
IND-CMP-10411,Tata 1mg,New Launch,Travel,Instagram,Coimbatore,Delhi,2025-03-15,2025-04-11,220516.0,145506,770751,152206,11711,46199895,Amit Verma,Active
IND-CMP-10288,PhonePe,Festive Sale,FinTech,Email,Coimbatore,Punjab,2025-07-13,2025-08-16,1296752.0,1479323,1157547,165575,26930,11068230,Vikram Patel,Paused
IND-CMP-10952,Amazon India,Republic Day Offer,FinTech,YouTube,Ahmedabad,Rajasthan,2025-05-09,2025-06-22,1141401.0,1080316,706928,72047,10840,12997160,Priya Nair,Completed
IND-CMP-10168,Flipkart,Independence Day Sale,Real Estate,YouTube,Nagpur,Rajasthan,2025-07-15,2025-08-15,1291065.0,1434219,1008173,123613,15858,49413528,Pooja Singh,Paused
IND-CMP-10783,Ajio,End of Season Sale,E-commerce,Facebook Ads,Kochi,Punjab,2025-07-14,2025-08-10,357639.0,273788,1729791,261122,33459,140092833,Rohit Gupta,Paused
IND-CMP-10232,Ajio,New Launch,Healthcare,YouTube,Bhopal,Andhra Pradesh,2025-07-03,2025-08-09,1484239.0,942344,558036,52259,3515,6102040,Neha Kapoor,Paused
IND-CMP-10314,Amazon India,Summer Offer,Retail,WhatsApp,Lucknow,Andhra Pradesh,2025-05-20,2025-05-30,1481967.0,1387610,1897969,276132,28172,17889220,Rahul Sharma,Paused
IND-CMP-10380,PhonePe,Back to School,Healthcare,Google Ads,Mumbai,Punjab,2025-10-24,2025-10-31,655715.0,409600,283275,4150,690,760380,Rahul Sharma,Completed
IND-CMP-10742,PhonePe,Summer Offer,Real Estate,Instagram,Ahmedabad,Gujarat,2025-02-10,2025-03-13,487801.0,439981,1833172,107512,4824,11437704,Pooja Singh,Paused
IND-CMP-10797,Swiggy,Summer Offer,Healthcare,Facebook Ads,Indore,Karnataka,2025-07-03,2025-07-30,1362173.0,831797,392872,18168,2375,7521625,Vikram Patel,Paused
IND-CMP-10658,Flipkart,Festive Sale,Retail,Email,Bangalore,Telangana,2025-04-25,2025-06-03,201681.0,189684,127658,15548,2826,12304404,Anjali Mehta,Active
IND-CMP-10779,Byju's,End of Season Sale,Real Estate,Google Ads,Chennai,Karnataka,2025-09-01,2025-09-16,522016.0,337130,14240,2330,163,547028,Amit Verma,Paused
IND-CMP-10539,Tata 1mg,New Launch,EdTech,WhatsApp,Coimbatore,Punjab,2025-08-30,2025-09-18,1172267.0,1221620,94297,14534,298,408558,Vikram Patel,Completed
IND-CMP-10388,Uber India,Independence Day Sale,Healthcare,Google Ads,Chennai,Tamil Nadu,2025-09-18,2025-10-05,1085512.0,1203355,1889772,115388,3012,6340260,Neha Kapoor,Active
IND-CMP-10813,Ajio,Republic Day Offer,Healthcare,LinkedIn,Visakhapatnam,Punjab,2025-03-08,2025-04-13,1151357.0,1226645,1032603,162340,19699,21334017,Pooja Singh,Active
IND-CMP-10435,Byju's,Festive Sale,Healthcare,YouTube,Kolkata,West Bengal,2025-01-15,2025-02-07,200452.0,217953,641169,84848,7407,10088334,Karthik Iyer,Completed
IND-CMP-10911,Ola,Diwali Campaign,Travel,YouTube,Patna,Rajasthan,2025-02-10,2025-03-15,1045647.0,757632,181227,22888,4310,19554470,Rohit Gupta,Active
IND-CMP-10562,Paytm,Flash Sale,Healthcare,Email,,Tamil Nadu,2025-06-08,2025-06-24,,659574,1347184,115062,1293,1122324,Anjali Mehta,Paused
IND-CMP-10141,Ajio,Festive Sale,Travel,Facebook Ads,Hyderabad,Karnataka,2025-10-10,2025-10-23,785946.0,633394,813410,161868,5452,24790244,Sneha Reddy,Completed
IND-CMP-10073,Tata 1mg,Republic Day Offer,EdTech,Instagram,Ahmedabad,Bihar,2025-03-04,2025-03-27,1065810.0,1063791,1062626,85114,12475,8670125,Anjali Mehta,Active
IND-CMP-10447,MakeMyTrip,End of Season Sale,Healthcare,LinkedIn,Delhi,Delhi,2025-03-08,2025-04-10,120166.0,109023,1759484,318933,1021,4154449,Anjali Mehta,Active
IND-CMP-10883,Nykaa,Diwali Campaign,FinTech,LinkedIn,Kochi,Haryana,2025-02-12,2025-03-27,880216.0,931616,1734758,173684,32914,81890032,Karthik Iyer,Paused
IND-CMP-10588,Flipkart,Summer Offer,Healthcare,Instagram,Nagpur,Telangana,2025-06-26,2025-07-23,1360657.0,1394524,1436474,247828,41376,44396448,Rohit Gupta,Active
IND-CMP-10462,BigBasket,Diwali Campaign,Healthcare,Instagram,Delhi,Telangana,2025-09-03,2025-10-09,1229916.0,1068773,1747273,117477,22373,8121399,Amit Verma,Active
IND-CMP-10100,MakeMyTrip,New Launch,Travel,YouTube,Surat,Madhya Pradesh,2025-03-28,2025-04-19,364951.0,296370,659700,22146,1980,3318480,Priya Nair,Active
IND-CMP-10242,Ajio,New Launch,FinTech,YouTube,Mumbai,Andhra Pradesh,2025-07-18,2025-08-15,704566.0,637143,598755,50835,6474,17719338,,Active
IND-CMP-10047,Paytm,Independence Day Sale,Real Estate,YouTube,Chennai,Bihar,2025-06-10,2025-07-05,58186.0,37079,1208169,80685,11252,48597388,Rahul Sharma,Completed
IND-CMP-10608,Nykaa,Back to School,Travel,WhatsApp,Visakhapatnam,Madhya Pradesh,2025-08-21,2025-09-24,1350824.0,1419003,1103244,176876,7995,12328290,Pooja Singh,Paused
IND-CMP-10609,Paytm,Back to School,E-commerce,Email,Chennai,Punjab,2025-08-18,2025-09-17,1055933.0,771499,164690,5395,382,1405760,Anjali Mehta,Active
IND-CMP-10445,Swiggy,Festive Sale,Travel,YouTube,Chandigarh,Delhi,2025-04-05,2025-05-14,353280.0,396401,561578,92094,9064,20747496,Vikram Patel,Completed
IND-CMP-10653,Tata 1mg,Independence Day Sale,E-commerce,LinkedIn,Indore,Karnataka,2025-03-23,2025-04-09,1101007.0,1160926,522575,47267,2571,6453210,Priya Nair,Completed
IND-CMP-10416,Zomato,Diwali Campaign,EdTech,Facebook Ads,Hyderabad,Andhra Pradesh,2025-05-03,2025-06-10,1400264.0,1477892,1498485,214094,1455,5520270,Vikram Patel,Completed
IND-CMP-10304,Ola,Republic Day Offer,Real Estate,YouTube,Coimbatore,Bihar,2025-04-17,2025-04-29,1425457.0,900223,1138959,4121,549,1779858,Karthik Iyer,Paused
IND-CMP-10454,PhonePe,Flash Sale,FinTech,Facebook Ads,Delhi,Andhra Pradesh,2025-10-15,2025-11-03,582684.0,440941,1601327,119408,15397,75399109,Rahul Sharma,Paused
IND-CMP-10301,Meesho,New Launch,FinTech,Instagram,Coimbatore,Haryana,2025-05-08,2025-05-17,465311.0,523170,836811,78850,8652,6713952,Priya Nair,Completed
IND-CMP-10094,Flipkart,Back to School,Real Estate,Instagram,Lucknow,Tamil Nadu,2025-01-29,2025-02-11,975920.0,905785,1766183,17146,2488,5595512,,Completed
IND-CMP-10804,Flipkart,End of Season Sale,Travel,WhatsApp,Visakhapatnam,Gujarat,2025-01-07,2025-02-14,1177546.0,729288,1238926,208147,3286,9131794,Pooja Singh,Paused
IND-CMP-10643,Zomato,Festive Sale,FinTech,Instagram,Chennai,Telangana,2025-06-20,2025-08-02,1499549.0,1301721,559224,32865,3245,15361830,Rahul Sharma,Paused
IND-CMP-10568,Ola,Flash Sale,Travel,YouTube,Indore,Gujarat,2025-10-05,2025-10-26,1379455.0,1532660,1961241,39224,3837,10540239,Rahul Sharma,Completed
IND-CMP-10664,Flipkart,End of Season Sale,Real Estate,Google Ads,Chandigarh,Delhi,2025-09-11,2025-09-26,417706.0,291068,1397260,85073,9061,41798393,Priya Nair,Completed
IND-CMP-10971,Byju's,End of Season Sale,Travel,YouTube,Lucknow,Haryana,2025-08-14,2025-09-04,61162.0,40725,1651458,2661,190,333260,Priya Nair,Completed
IND-CMP-10251,Paytm,End of Season Sale,FinTech,Instagram,Mumbai,Haryana,2025-05-06,2025-06-12,88507.0,87156,1160859,89021,8210,7019550,Vikram Patel,Paused
IND-CMP-10528,Byju's,Independence Day Sale,Travel,Google Ads,Hyderabad,Punjab,2025-04-03,2025-04-27,51580.0,52546,78060,4037,234,534456,Rohit Gupta,Active
IND-CMP-10606,Zomato,End of Season Sale,Travel,Instagram,Pune,Bihar,2025-10-15,2025-10-29,80502.0,64535,1607107,263585,13743,49983291,Pooja Singh,Completed
IND-CMP-10189,Amazon India,Diwali Campaign,Healthcare,WhatsApp,Nagpur,Tamil Nadu,2025-05-03,2025-05-13,858258.0,982448,1790655,28578,1118,5387642,Vikram Patel,Active
IND-CMP-10444,Uber India,Flash Sale,FinTech,Email,Chennai,Punjab,2025-10-11,2025-11-12,1314942.0,1438736,1738620,168288,15202,63939612,Rahul Sharma,Completed
IND-CMP-10331,Ola,Republic Day Offer,E-commerce,WhatsApp,Jaipur,Maharashtra,2025-09-26,2025-10-30,559798.0,562518,403141,18678,3307,13793497,Pooja Singh,Active
IND-CMP-10129,BigBasket,New Launch,EdTech,LinkedIn,Kolkata,Andhra Pradesh,2025-06-16,2025-07-22,592691.0,408778,793326,97080,12535,24530995,Rohit Gupta,Completed
IND-CMP-10051,Ajio,Independence Day Sale,Retail,WhatsApp,Ahmedabad,Telangana,2025-06-01,2025-06-17,103848.0,93225,415517,40940,7985,30103450,Priya Nair,Completed
IND-CMP-10519,PhonePe,Summer Offer,Retail,LinkedIn,Kochi,Tamil Nadu,2025-05-01,2025-06-02,469390.0,535310,1890793,290803,17330,84813020,Vikram Patel,Paused
IND-CMP-10234,Zomato,New Launch,Retail,YouTube,,Gujarat,2025-05-09,2025-06-06,1328352.0,1229969,303876,26544,3104,6018656,Rohit Gupta,Paused
IND-CMP-10601,Meesho,Back to School,Travel,WhatsApp,Delhi,Andhra Pradesh,2025-09-11,2025-10-18,1286432.0,1472447,1634530,126459,8390,26831220,Amit Verma,Completed
IND-CMP-10908,Nykaa,Diwali Campaign,Travel,Instagram,Pune,Tamil Nadu,2025-02-18,2025-03-08,173410.0,-5000,120102,14132,499,2194602,Rahul Sharma,Paused
IND-CMP-10415,Zomato,Back to School,Travel,Email,Surat,Punjab,2025-09-16,2025-09-28,1176742.0,1162549,141737,1563,92,423384,Vikram Patel,Completed
IND-CMP-10044,Amazon India,Flash Sale,FinTech,Google Ads,Visakhapatnam,Kerala,2025-04-03,2025-05-17,257313.0,278391,1656063,188222,34442,89342548,Priya Nair,Completed
IND-CMP-10495,Amazon India,Diwali Campaign,Retail,WhatsApp,Pune,Rajasthan,2025-05-16,2025-06-24,910282.0,684128,1310990,180721,2941,2091051,Pooja Singh,Active
IND-CMP-10485,Swiggy,Back to School,Real Estate,Facebook Ads,Hyderabad,Madhya Pradesh,2025-05-24,2025-06-21,1045816.0,916203,228424,10738,1310,3438750,Anjali Mehta,Paused
IND-CMP-10548,Flipkart,Independence Day Sale,FinTech,Facebook Ads,Hyderabad,Rajasthan,2025-06-07,2025-07-15,1314891.0,1275996,286437,49010,4169,19519258,Rahul Sharma,Active
IND-CMP-10958,Zomato,End of Season Sale,EdTech,Email,Ahmedabad,Telangana,2025-09-07,2025-09-27,1398597.0,1241909,672824,76562,9195,9636360,Neha Kapoor,Paused
IND-CMP-10598,Ola,Republic Day Offer,Real Estate,Instagram,Chandigarh,Madhya Pradesh,2025-07-17,2025-08-22,521786.0,411031,330536,5029,645,2596770,Priya Nair,Paused
IND-CMP-10368,Ola,Back to School,EdTech,LinkedIn,Lucknow,Karnataka,2025-06-30,2025-07-22,902235.0,1006093,193821,14263,1658,4221268,Sneha Reddy,Paused
IND-CMP-10693,Amazon India,Back to School,Healthcare,YouTube,Hyderabad,Telangana,2025-03-17,2025-04-09,1141317.0,1170094,283832,22654,3200,10016000,Sneha Reddy,Active
IND-CMP-10191,PhonePe,Flash Sale,Healthcare,Instagram,Lucknow,Delhi,2025-09-15,2025-10-08,862757.0,734640,1536935,179480,21945,46062555,Anjali Mehta,Active
IND-CMP-10843,Nykaa,End of Season Sale,EdTech,Email,Jaipur,Gujarat,2025-06-02,2025-06-28,1097161.0,1179220,61120,9917,1534,888186,Rohit Gupta,Completed
IND-CMP-10427,Amazon India,New Launch,Real Estate,Instagram,Surat,Uttar Pradesh,2025-01-06,2025-02-07,668006.0,-5000,1732922,227971,16132,76691528,Rohit Gupta,Paused
IND-CMP-10596,Flipkart,Back to School,EdTech,WhatsApp,Indore,Andhra Pradesh,2025-09-30,2025-10-21,187815.0,128325,156379,16454,1198,4825544,Neha Kapoor,Completed
IND-CMP-10593,Uber India,Flash Sale,E-commerce,Email,Delhi,Rajasthan,2025-02-14,2025-02-24,720640.0,790306,1165954,136691,6342,22209684,Sneha Reddy,Paused
IND-CMP-10975,BigBasket,New Launch,EdTech,Email,Bhopal,Rajasthan,2025-10-12,2025-11-06,934543.0,1019234,1643870,309849,44159,123159451,Karthik Iyer,Active
IND-CMP-10928,Swiggy,Flash Sale,E-commerce,WhatsApp,Bhopal,Telangana,2025-06-23,2025-08-03,700005.0,769621,1918629,302202,45933,18740664,Vikram Patel,Paused
IND-CMP-10243,Amazon India,Diwali Campaign,FinTech,YouTube,Bhopal,Madhya Pradesh,2025-05-17,2025-06-20,927831.0,950746,695270,4336,148,674880,Karthik Iyer,Paused
IND-CMP-10602,Byju's,Diwali Campaign,Healthcare,Facebook Ads,Lucknow,Kerala,2025-10-09,2025-10-17,212545.0,159733,1900951,59638,6241,16532409,Vikram Patel,Paused
IND-CMP-10031,Byju's,Republic Day Offer,E-commerce,Facebook Ads,Bangalore,Bihar,2025-04-15,2025-05-10,176122.0,118142,1871539,98330,14072,14451944,Anjali Mehta,Paused
IND-CMP-10870,Uber India,Festive Sale,Retail,Instagram,Coimbatore,Uttar Pradesh,2025-04-25,2025-05-02,129628.0,117554,1518670,35210,5394,17864928,Sneha Reddy,Paused
IND-CMP-10089,Ajio,Independence Day Sale,Retail,WhatsApp,Delhi,Delhi,2025-08-28,2025-09-04,215740.0,245468,1162868,112613,11923,50935056,Pooja Singh,Active
IND-CMP-10832,Amazon India,Republic Day Offer,E-commerce,LinkedIn,Hyderabad,Karnataka,2025-04-18,2025-04-26,1007163.0,899999,689919,131474,25108,30732192,Vikram Patel,Active
IND-CMP-10351,Uber India,Festive Sale,Healthcare,Google Ads,Visakhapatnam,Bihar,2025-04-21,2025-05-13,117892.0,96000,1236878,72632,5580,1992060,Amit Verma,Paused
IND-CMP-10910,MakeMyTrip,End of Season Sale,FinTech,Instagram,Bhopal,Karnataka,2025-01-04,2025-01-25,1191074.0,1096040,1154953,1584,148,53132,Anjali Mehta,Completed
IND-CMP-10705,Zomato,Republic Day Offer,FinTech,LinkedIn,Bangalore,Kerala,2025-04-07,2025-05-20,165664.0,117976,1488297,189745,5279,12986340,Pooja Singh,Active
IND-CMP-10210,Tata 1mg,Flash Sale,EdTech,Email,Ahmedabad,Punjab,2025-02-24,2025-03-14,98641.0,90111,988725,112881,8441,7706633,Vikram Patel,Active
IND-CMP-10268,BigBasket,Flash Sale,Travel,WhatsApp,Lucknow,West Bengal,2025-04-09,2025-05-12,514808.0,378870,1582840,225330,1541,992404,Vikram Patel,Completed
IND-CMP-10112,Ajio,Republic Day Offer,Healthcare,WhatsApp,Bhopal,Punjab,2025-09-28,2025-11-02,847092.0,807541,1412979,253373,39065,61566440,Amit Verma,Active
IND-CMP-10581,Uber India,Summer Offer,E-commerce,YouTube,Surat,Rajasthan,2025-09-09,2025-10-05,257389.0,265145,1097384,33040,3139,9511170,Sneha Reddy,Active
